resource_code,resource_name,resource_type,common_name,unit,price_median,price_min,price_max,price_mean,variant_count,currency,usage_count,tech_group,variable_parts_sample
KAPU-ME-KARI-KASA,Heavy concrete mixes,abstract_material,Heavy concrete mixes (BST) on,m3,140.11,107.02,201.01,141.33,212,EUR,1589,MELI-KAME-KATOPU,"granite crushed stone, class B10, F(1)100, W2 • granite crushed stone, class B10, F(1)100, W4 • granite crushed stone, class B10, F(1)50, W2 • granite crushed stone, class B10, F(1)75, W4 • granite cr"
KAME-PU-KAME-KANE,Drill bits,abstract_material,,pcs,41.23,6.32,585.67,125.5,16,EUR,1035,SATO-KARI-MEMEPU,"Diamond core bit for high-strength reinforced concrete, diameter 200 mm • Diamond core bit for high-strength reinforced concrete, diameter 250 mm • Diamond core bit for hammer drill, diameter 68 mm • "
KAME-PU-KATO-KAPU,Drill bits,abstract_material,Twisted rhombic drill steel,kg,5.13,5.13,5.13,5.13,1,EUR,695,SATO-KARI-RIVOPU,
MEME-ME-KATO-KANE,Boards,abstract_material,,m2,945.13,371.98,2709.29,1399.9,1,EUR,662,MENE-KATO-KAKASA,"Antiseptic-treated softwood timber of natural moisture content, length up to 6000 mm, width 75 mm, thickness 75 mm • Antiseptic-treated edged board of natural moisture content, length 4-6 m, width 150"
RINE-ME-KAME-KALI,Metal structures for tunneling works,abstract_material,Metal structures made of,t,4197.78,4197.59,4197.97,4197.78,2,EUR,647,NETO-KATO-KAKATO,"sheet metal for tunneling, structure weight up to KA.SA t • shaped rolled metal for tunneling, structure weight up to KA.SA t"
KAPU-TO-KAME-KADX,Ready-made finishing mortar,abstract_material,Ready-made solution,m3,134.42,110.55,194.5,137.38,16,EUR,642,MELI-KARI-KAMEKA,"masonry, cement-sand, M100 • masonry, cement-sand, M150 • masonry, cement-sand, M200 • masonry, cement-sand, M250 • masonry, cement-sand, M300 • masonry, cement-sand, M50 • masonry, cement-sand, M75 •"
KAVO-PU-KATO-KATO,Rebar,abstract_material,,t,1476.11,1331.01,2026.09,1510.36,35,EUR,596,METO-KANE-KATODX,"Reinforcing steel for reinforced concrete structures, class A500C, diameter 10 mm • Reinforcing steel for reinforced concrete structures, class A500C, diameter 12 mm • Reinforcing steel for reinforced"
KAME-PU-KATO-KANE,Locking nut for tubular screw rod,abstract_material,,pcs,95.48,0.06,2976.92,189.23,38,EUR,485,TOME-KATO-KAKATO,"Two-chamber polymer film ampoule for anchor support in mining workings, filled with a dry mineral mixture and a curing compound, diameter 25 mm, length 450 mm • Two-chamber ampoule made of polymer fil"
RITO-VO-KATO-MERI,"Welded steel fittings, nominal diameter up to 800 mm",abstract_material,"Welded steel flanges complete with gaskets, bolts, and nuts, nominal pressure ME.KA MPa, nominal dia",t,16.23,7.19,781.91,190.29,2,EUR,481,TOPU-KAME-MEMEPU,"100 mm • 50 mm • 600 mm • 80 mm • 800 mm, 90° segmented galvanized steel elbow • Welded steel fitting, diameter 32 mm • Welded steel fitting, diameter 50 mm"
KALI-RI-KALI-METO,Steel knife and joint structures,abstract_material,,t,4732.99,2661.54,8622.23,5429.69,8,EUR,472,MESA-MERI-KAKAPU,"Beams for installing elevator guides, framing openings, side room structures, etc., C345 steel • Metal crossbars made of box-section beams • Metal reinforcement from box-section beams, C255 steel • Me"
