resource_code,resource_name,resource_type,category,unit,unit_rate_avg,unit_rate_min,unit_rate_max,avg_cost_per_use,avg_quantity_per_use,currency,usage_count,price_variants,used_in_items_count,regions,parent_work_category,parent_collection,parent_department
PU_MEKAKA_KAPUKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,9.09,9.08,45.42,90.37,9.9441,EUR,30414,4,24727,ENG_TORONTO,CONSTRUCTION WORK;MAJOR EQUIPMENT REPAIRS;REPAIR AND CONSTRUCTION WORKS,Equipment for healthcare institutions and medical industry enterprises;Rolling mill equipment;Tram tracks,COATING WITH PAINT AND VARNISH MATERIALS;HEATING BOILERS
PU_MEKAKA_KANEKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,15.83,1.71,561.3,206.89,15.8395,EUR,29417,13,24256,ENG_TORONTO,CONSTRUCTION WORK;MAJOR EQUIPMENT REPAIRS;REPAIR AND CONSTRUCTION WORKS,Equipment for healthcare institutions and medical industry enterprises;Equipment for printing industry enterprises;Rolling mill equipment,COMPENSATORS AND INSPECTION LIGHTS;HEATING BOILERS
DXME-KASA-KASA_KAMESA,"Mobile cranes, lifting capacity 16 t",equipment,Cranes,Machine hours,504.25,42.15,1561.06,4437.63,10.1435,EUR,24807,2,24807,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Equipment for healthcare institutions and medical industry enterprises;Rolling mill equipment;Оборудование сигнализации, централизации, блокировки и контактной сети на железнодорожном транспорте",COMPENSATORS AND INSPECTION LIGHTS;HEATING BOILERS
PU_MEKAKA_KASAKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,11.76,10.44,135.71,283.26,25.5235,EUR,24718,9,17482,ENG_TORONTO,CONSTRUCTION WORK;MAJOR EQUIPMENT REPAIRS;REPAIR AND CONSTRUCTION WORKS,Equipment for printing industry enterprises;Rolling mill equipment;Tram tracks,COATING WITH PAINT AND VARNISH MATERIALS;EQUIPMENT FOR SADDLE AND SADDLE PRODUCTION
KAME-LI-KATO-KAPU_KAKAKAME,Electricity,material,Electrical,kWh,2.64,0.19,7.16,13813.54,3823.7147,EUR,23819,2,23819,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Equipment for healthcare institutions and medical industry enterprises;Inspection of welded joints;Rolling mill equipment,COATING WITH PAINT AND VARNISH MATERIALS;EQUIPMENT FOR SADDLE AND SADDLE PRODUCTION
DXME-MEPU-KARI_KAKAME,"Flatbed trucks, load capacity up to 5 tons",equipment,Trucks & Vehicles,Machine hours,142.31,16.37,606.12,463.71,2.4462,EUR,22323,2,22323,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Equipment for healthcare institutions and medical industry enterprises;Tram tracks;Оборудование учреждений здравоохранения и предприятий медицинской промышленности,COATING WITH PAINT AND VARNISH MATERIALS;HEATING BOILERS
DXME-MELI-KAPU_RITOTO,"Welding machines for manual arc welding, welding current up to 350 A",equipment,Welding Equipment,Machine hours,12.38,0.91,33.57,767.86,57.4236,EUR,16733,3,12896,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;MAJOR EQUIPMENT REPAIRS;МОНТАЖ ОБОРУДОВАНИЯ,"Equipment for building materials industry enterprises;Rolling mill equipment;Оборудование сигнализации, централизации, блокировки и контактной сети на железнодорожном транспорте",CONVEYORS FOR GRAIN AND GRAIN PROCESSING PRODUCTS;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
DXME-MELI-KAPU_RITOTO,Electricity: consumption TO.LI kWh/machine-hour,electricity,Electricity,Machine hours,0.49,0.49,0.49,26.29,53.3224,EUR,9038,1,9038,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,"Devices, automation and computing equipment;Pile driving, sinking wells, soil stabilization;Roofs",BUILDINGS AND BUILDING FRAMES;CONVEYORS FOR GRAIN AND GRAIN PROCESSING PRODUCTS
KAME-TO-KARI-KAVO_KAKAKAME,Technical gaseous oxygen,material,Chemicals & Gases,m3,46.4,4.22,156.14,1680.51,29.2961,EUR,9025,2,9025,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;MAJOR EQUIPMENT REPAIRS;МОНТАЖ ОБОРУДОВАНИЯ,"Pile driving, sinking wells, soil stabilization;Rolling mill equipment;Изготовление технологических металлических конструкций в условиях производственных баз",BUILDINGS AND BUILDING FRAMES;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
PU_MEKAKA_KANEKA,Персонал: 1 чел.-ч/маш.-ч,equipment,Other,маш.-ч,464.35,451.93,1807.72,5997.67,12.2902,EUR,8912,3,8161,RU_STPETERSBURG,МОНТАЖ ОБОРУДОВАНИЯ,Изготовление технологических металлических конструкций в условиях производственных баз;Оборудование предприятий электронной промышленности и промышленности средств связи;Оборудование сельскохозяйственных производств,АРМАТУРА ДЛЯ ОБЪЕКТОВ МАГИСТРАЛЬНОГО ТРУБОПРОВОДНОГО ТРАНСПОРТА НЕФТИ И НЕФТЕПРОДУКТОВ;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
