code,name,type,category,unit,base_price,min_price,max_price,currency,usage_count,regions
DXME-MELI-KAPU_RITOTO,Electricity: consumption TO.LI kWh/machine-hour,electricity,Electricity,Machine hours,0.49,0.49,0.49,EUR,9038,ENG_TORONTO
DXME-KANE-KATO_KANERI,Electricity: consumption KA.TODX kW·h/machine-hour,electricity,Electricity,Machine hours,0.05,0.05,0.05,EUR,1586,ENG_TORONTO
DXME-KANE-KATO_KASASA,Electricity: consumption KA.TODX kW·h/machine-hour,electricity,Electricity,Machine hours,0.05,0.05,0.05,EUR,1389,ENG_TORONTO
DXME-KANE-KATO_KASAPU,Electricity: consumption KA.TODX kW·h/machine-hour,electricity,Electricity,Machine hours,0.05,0.05,0.05,EUR,1381,ENG_TORONTO
DXME-KANE-KATO_KANETO,Electricity: consumption KA.SATO kW·h/machine-hour,electricity,Electricity,Machine hours,0.07,0.07,0.07,EUR,1239,ENG_TORONTO
DXME-MELI-KAPU_RITORI,Electricity: consumption TO.SARI kW·h/machine-hour,electricity,Electricity,Machine hours,0.47,0.47,0.47,EUR,1164,ENG_TORONTO
DXME-KASA-KAME_KAMELI,Electricity: consumption NE.VOTO kWh/machine-hour,electricity,Electricity,Machine hours,0.91,0.91,0.91,EUR,1153,ENG_TORONTO
DXME-KANE-KATO_KANEME,Electricity: consumption KA.RINE kW·h/machine-hour,electricity,Electricity,Machine hours,0.04,0.04,0.04,EUR,922,ENG_TORONTO
DXME-KANE-KATO_KATOTO,Electricity: consumption KA.PUNE kW·h/machine-hour,electricity,Electricity,Machine hours,0.06,0.06,0.06,EUR,912,ENG_TORONTO
DXME-KASA-KARI_KAKANE,Electricity: consumption SAME.MESA kWh/machine-hour,electricity,Electricity,Machine hours,6.82,6.82,6.82,EUR,846,ENG_TORONTO
DXME-MELI-KAPU_MELIME,Electricity: consumption LI.DXRI kW·h/machine-hour,electricity,Electricity,Machine hours,1.06,1.06,1.06,EUR,843,ENG_TORONTO
DXME-KASA-KAPU_KAMEKA,Electricity: consumption PUNE.LI kW·h/machine-hour,electricity,Electricity,Machine hours,6.23,6.23,6.23,EUR,709,ENG_TORONTO
DXME-MELI-KAME_KAKAPU,Electricity: consumption LI.DXRI kW·h/machine-hour,electricity,Electricity,Machine hours,1.06,1.06,1.06,EUR,688,ENG_TORONTO
DXME-RIME-MEDX_KATONE,Electricity: consumption ME.VORI kW·h/machine-hour,electricity,Electricity,Machine hours,0.24,0.24,0.24,EUR,686,ENG_TORONTO
DXME-KAVO-KAPU_KARIME,Electricity: consumption SA.DXPU kW·h/machine-hour,electricity,Electricity,Machine hours,0.79,0.79,0.79,EUR,657,ENG_TORONTO
DXME-RIME-MENE_KAMERI,Electricity: consumption KA.RISA kW·h/machine-hour,electricity,Electricity,Machine hours,0.03,0.03,0.03,EUR,619,ENG_TORONTO
DXME-KASA-KARI_KAKASA,Electricity: consumption TONE.TO kW·h/machine-hour,electricity,Electricity,Machine hours,4.84,4.84,4.84,EUR,569,ENG_TORONTO
DXME-MEDX-KAVO_KAMESA,Electricity: consumption LI.RINE kW·h/machine-hour,electricity,Electricity,Machine hours,0.97,0.97,0.97,EUR,541,ENG_TORONTO
DXME-KASA-KAPU_KAKANE,Electricity: consumption SA.LIVO kWh/machine-hour,electricity,Electricity,Machine hours,0.77,0.77,0.77,EUR,513,ENG_TORONTO
DXME-MEDX-KAVO_KAKALI,Electricity: consumption ME.VORI kW·h/machine-hour,electricity,Electricity,Machine hours,0.24,0.24,0.24,EUR,474,ENG_TORONTO
DXME-KASA-KAPU_KAKASA,Electricity: consumption RI.DXLI kW·h/machine-hour,electricity,Electricity,Machine hours,0.4,0.4,0.4,EUR,470,ENG_TORONTO
DXME-KAME-KATO_KAKARI,Electricity: consumption MEPU.DXNE kWh/machine-hour,electricity,Electricity,Machine hours,2.27,2.27,2.27,EUR,455,ENG_TORONTO
DXME-RIME-MEDX_KATOME,Electricity: consumption KA.PUSA kW·h/machine-hour,electricity,Electricity,Machine hours,0.06,0.06,0.06,EUR,425,ENG_TORONTO
DXME-RIME-MEDX_KATOTO,Electricity: consumption RI.SARI kW·h/machine-hour,electricity,Electricity,Machine hours,0.34,0.34,0.34,EUR,421,ENG_TORONTO
