code,name,type,category,unit,base_price,min_price,max_price,currency,usage_count,regions
DXME-KASA-KASA_KAMESA,"Mobile cranes, lifting capacity 16 t",equipment,Cranes,Machine hours,504.25,42.15,1561.06,EUR,24807,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEPU-KARI_KAKAME,"Flatbed trucks, load capacity up to 5 tons",equipment,Trucks & Vehicles,Machine hours,142.31,16.37,606.12,EUR,22323,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KAPU_RITOTO,"Welding machines for manual arc welding, welding current up to 350 A",equipment,Welding Equipment,Machine hours,12.38,0.91,33.57,EUR,16733,"ENG_TORONTO,RU_STPETERSBURG"
PU_MEKAKA_KANEKA,Персонал: 1 чел.-ч/маш.-ч,equipment,General,маш.-ч,464.35,451.93,1807.72,EUR,8912,RU_STPETERSBURG
PU_MEKAKA_KAPUKA,Персонал: 1 чел.-ч/маш.-ч,equipment,General,маш.-ч,336.43,336.43,336.43,EUR,8203,RU_STPETERSBURG
PU_MEKAKA_KASAKA,Персонал: 2 чел.-ч/маш.-ч,equipment,General,маш.-ч,388.63,386.65,773.3,EUR,6829,RU_STPETERSBURG
DXME-MELI-KAPU_KAPURI,Gas welding and cutting equipment,equipment,Welding Equipment,Machine hours,1.03,0.14,5.35,EUR,4496,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KASA_KAMEME,"Universal front-end pneumatic wheeled single-bucket loaders, nominal capacity of main bucket RI.NE m3, load capacity 5 t",equipment,Excavators,Machine hours,410.57,43.74,1619.97,EUR,3807,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KATO_KANERI,Electric winches with pulling force up to TOME.TODX kN (TO.RI t),equipment,Hoists & Winches,Machine hours,6.1,0.52,19.35,EUR,3784,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KADX-KATO_KATOSA,"Wide gauge platforms, load capacity 73 t",equipment,Trucks & Vehicles,Machine hours,57.73,5.72,211.68,EUR,3489,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KAPU_RITORI,"Three-phase welding inverters for argon arc welding, maximum welding current 500 A",equipment,Welding Equipment,Machine hours,29.41,1.91,70.57,EUR,3362,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KASA-KANE_KAKALI,"Crawler cranes, lifting capacity 25 t",equipment,Cranes,Machine hours,560.96,61.63,2282.42,EUR,3051,"ENG_TORONTO,RU_STPETERSBURG"
