code,name,type,category,unit,base_price,min_price,max_price,currency,usage_count,regions
ME_MEKAKA_PUKA,Worker Category 1,labor,Labor,hrs,17.12,17.12,17.12,EUR,7620,ENG_TORONTO
RI_MEKAKA_KAPU,Grade 4 worker,labor,Labor,hrs,17.12,17.12,17.12,EUR,2918,ENG_TORONTO
ME_MEKAKA_TOKA,Average workload TO.KA,labor,Labor,hrs,15.2,15.2,15.2,EUR,2694,ENG_TORONTO
ME_MEKAKA_TOVO,Worker Category 1,labor,Labor,hrs,16.73,16.73,16.73,EUR,2594,ENG_TORONTO
RI_MEKAKA_KASA,Grade 5 worker,labor,Labor,hrs,19.67,19.67,19.67,EUR,2550,ENG_TORONTO
RI_MEKAKA_KARI,2nd grade worker,labor,Labor,hrs,13.92,13.92,13.92,EUR,2220,ENG_TORONTO
ME_MEKAKA_TOSA,Worker Category 1,labor,Labor,hrs,16.16,16.16,16.16,EUR,2210,ENG_TORONTO
RI_MEKAKA_KATO,Grade 3 worker,labor,Labor,hrs,15.2,15.2,15.2,EUR,2130,ENG_TORONTO
ME_MEKAKA_TODX,Worker Category 1,labor,Labor,hrs,16.93,16.93,16.93,EUR,1933,ENG_TORONTO
ME_MEKAKA_SAKA,Worker Category 1,labor,Labor,hrs,19.67,19.67,19.67,EUR,1829,ENG_TORONTO
ME_MEKAKA_PURI,Worker Category 1,labor,Labor,hrs,17.63,17.63,17.63,EUR,1798,ENG_TORONTO
ME_MEKAKA_TONE,Worker Category 1,labor,Labor,hrs,16.35,16.35,16.35,EUR,1726,ENG_TORONTO
ME_MEKAKA_TOLI,Worker Category 1,labor,Labor,hrs,16.54,16.54,16.54,EUR,1611,ENG_TORONTO
TO_RIKAKA_KAME,Category I engineer,labor,Labor,person-hour,27.46,27.46,27.46,EUR,1536,ENG_TORONTO
ME_MEKAKA_TOME,Worker Category 1,labor,Labor,hrs,15.39,15.39,15.39,EUR,1517,ENG_TORONTO
TO_RIKAKA_KARI,Category II Engineer,labor,Labor,person-hour,25.04,25.04,25.04,EUR,1512,ENG_TORONTO
ME_MEKAKA_PUME,Worker Category 1,labor,Labor,hrs,17.37,17.37,17.37,EUR,1507,ENG_TORONTO
ME_MEKAKA_TORI,Worker Category 1,labor,Labor,hrs,15.58,15.58,15.58,EUR,1420,ENG_TORONTO
RI_MEKAKA_KANE,Grade 6 worker,labor,Labor,hrs,22.99,22.99,22.99,EUR,1405,ENG_TORONTO
ME_MEKAKA_TOPU,Worker Category 1,labor,Labor,hrs,15.97,15.97,15.97,EUR,1337,ENG_TORONTO
