code,name,type,category,unit,base_price,min_price,max_price,currency,usage_count,regions
KAME-LI-KATO-KAPU_KAKAKAME,Electricity,material,Electrical,kWh,2.64,0.19,7.16,EUR,23819,"ENG_TORONTO,RU_STPETERSBURG"
KAME-TO-KARI-KAVO_KAKAKAME,Technical gaseous oxygen,material,Chemicals & Gases,m3,46.4,4.22,156.14,EUR,9025,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KATO-KAME_KAKAKAME,Water,material,Water,m3,3.19,1.16,42.85,EUR,7841,"ENG_TORONTO,RU_STPETERSBURG"
KAME-TO-KARI-KADX_KAKARIRI,Propane-butane technical mixture,material,Chemicals & Gases,kg,22.83,1.85,68.69,EUR,6856,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-MEME-KALI_KARIRILI,"Welding electrodes for welding low-alloy and carbon steels UONI 13/45, E42A, diameter 4-5 mm",material,Steel & Metal,kg,27.35,3.91,144.74,EUR,6680,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KATO-KAME_KAKAKARI,Tap water,material,Water,m3,22.56,1.18,43.57,EUR,5390,"ENG_TORONTO,RU_STPETERSBURG"
ME_MEKAKA_PUKA,"Средний разряд работы 4,0",material,General,ч,633.95,633.95,633.95,EUR,4330,RU_STPETERSBURG
KAME-LI-MEME-KALI_KARITOKA,"Welding electrodes for welding low-alloy and carbon steels UONI 13/55, E50A, diameter 4-5 mm",material,Steel & Metal,kg,47.26,3.74,138.44,EUR,4222,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-MESA-KATO_KAKAPURI,Bolts with nuts and washers for construction,material,Fasteners,kg,48.97,5.48,202.92,EUR,4136,"ENG_TORONTO,RU_STPETERSBURG"
KAME-TO-KARI-KATO_KAKAKAME,"Acetylene gas, technical grade",material,Chemicals & Gases,m3,159.11,15.81,585.51,EUR,3105,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-MESA-KANE_KAMEMEME,Construction nails,material,Fasteners,t,4562.98,2353.52,87167.29,EUR,2879,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-MEME-KAPU_KAKASARI,"Uncoated welding wire SV-08G2S, diameter 2 mm",material,Welding Consumables,kg,47.66,2.9,107.51,EUR,2802,"ENG_TORONTO,RU_STPETERSBURG"
KAVO-ME-KARI-MEME_KAKAKAME,"Forgings from square billets, weight ME.SA-PU.SA kg",material,Steel & Metal,t,10809.19,2143.14,79375.42,EUR,2736,"ENG_TORONTO,RU_STPETERSBURG"
MEPU-PU-KARI-KAPU_KAMEPURI,"MA-0115 oil paint, mummy, iron minium",material,Steel & Metal,kg,33.32,3.28,121.42,EUR,2694,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-RIKA-KAVO_KAMERIRI,"Cotton wipes, dimensions 400x400 mm, surface density from 105 to 130 g/m2",material,General,m2,12.59,0.67,24.87,EUR,2672,"ENG_TORONTO,RU_STPETERSBURG"
RISA-ME-KAME-KAPU_KAKATOME,"Coniferous wood sleeper, untreated, for broad gauge railways, type I",material,Wood & Timber,pcs,846.98,61.86,2291.16,EUR,2635,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-MEME-KALI_KATOMETO,Tungsten welding electrodes for welding high-alloy and refractory steels,material,Steel & Metal,kg,2485.7,140.19,5192.06,EUR,2324,"ENG_TORONTO,RU_STPETERSBURG"
KAVO-ME-KARI-MEME_KAKARITO,"Simple construction forgings (staples, fasteners, clamps), weight up to ME.NE kg",material,Steel & Metal,kg,67.31,4.7,174.18,EUR,2190,"ENG_TORONTO,RU_STPETERSBURG"
MEPU-SA-KADX-KAME_KAKAKAME,"Technical acetone, grade I",material,General,kg,47.46,2.69,99.47,EUR,2088,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-MEME-KALI_KAKAPUME,"Welding electrodes for welding low-alloy and carbon steels E55, diameter 4 mm",material,Steel & Metal,t,63005.41,3973.9,147181.31,EUR,1982,"ENG_TORONTO,RU_STPETERSBURG"
KALI-RI-KALI-MERI_KAKAKAME,"Auxiliary metal structures predominantly made of thick-gauge steel or rolled sections, with or without holes",material,Steel & Metal,t,40881.21,4036.39,149495.91,EUR,1970,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-MEDX-KAPU_KAKATOME,Rubber gaskets (pressed technical plate),material,Rubber & Gaskets,kg,71.01,6.09,225.71,EUR,1881,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-RIKA-KAVO_KAKASAME,Colored cotton rags,material,General,kg,4.77,2.39,88.65,EUR,1846,"ENG_TORONTO,RU_STPETERSBURG"
KAME-TO-KARI-KARI_KAKAKARI,"Argon gas, highest grade",material,General,m3,98.6,5.76,213.31,EUR,1813,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KAVO-KAPU_KAKAKATO,Natural ground chalk,material,General,t,2286.78,138.67,5136.03,EUR,1789,"ENG_TORONTO,RU_STPETERSBURG"
MEME-ME-KARI-KAPU_KAKATOME,"Round coniferous timber, unpeeled, length TO-NE.SA m, diameter 14-24 cm, grade II-III",material,Wood & Timber,m3,1244.21,189.59,7021.85,EUR,1652,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KADX-KARI_KAKATOME,ED-KZ waterproof short-delay electric detonators,material,Waterproofing,1000 pcs,4994.03,4994.03,4994.03,EUR,1645,ENG_TORONTO
KALI-RI-KALI-KAPU_KAKAKALI,Custom-made steel structures from rolled steel,material,Steel & Metal,t,67160.89,4428.03,164000.93,EUR,1572,"ENG_TORONTO,RU_STPETERSBURG"
KAME-ME-KARI-KAVO_MEKAPUKA,"PMB brand paronite sheet (PON-A, PON-B), thickness from KA.PU to 5 mm",material,General,kg,52.64,3.64,134.84,EUR,1521,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-MESA-KARI_KAKAVORI,"Steel bolts with hexagonal heads, thread diameter M8 (M10, M12, M14), length 16-160 mm",material,Steel & Metal,t,53579.48,3350.15,124079.63,EUR,1483,"ENG_TORONTO,RU_STPETERSBURG"
MEME-ME-KATO-KASA_KAKANESA,"Unedged coniferous boards, natural moisture content, length RI-NE.SA m, width 100-250, thickness 30-50 mm, grade III",material,Wood & Timber,m3,3389.37,487.52,18056.45,EUR,1447,"ENG_TORONTO,RU_STPETERSBURG"
KAME-TO-KASA-MELI_KAKAKARI,Pine rosin,material,General,kg,191.05,11.28,417.7,EUR,1422,"ENG_TORONTO,RU_STPETERSBURG"
KAPU-ME-KARI-KASA,Heavy concrete mixes,material,Concrete & Cement,m3,140.11,140.11,140.11,EUR,1417,ENG_TORONTO
MEME-ME-KATO-KAME_KAKANELI,"Edged softwood timber (spruce, pine), natural moisture content, length RI-NE.SA m, width 100 mm and above, thickness 100 mm and above, grade III",material,Wood & Timber,m3,715.11,454.18,16821.55,EUR,1380,"ENG_TORONTO,RU_STPETERSBURG"
KAME-PU-KATO-KAPU_KAKAMEME,"Hexagonal hollow drill steel 55S2, outer size 22 mm, inner diameter NE.SA mm",material,Steel & Metal,t,5961.19,5961.19,5961.19,EUR,1369,ENG_TORONTO
KAME-LI-KALI-RIPU_KAKAMEKA,"Two-component developer for processing radiographic film, solution temperature for manual/automated processing 22/28 °C, development time 5-8 min, consumption KA.VO l/m2",material,General,l,229.38,14.46,535.64,EUR,1358,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KANE-KASA_KAKAPURI,"PVC insulating tape for electrical installation and repair work, black, width 19 mm, thickness KA.MEVO mm",material,Electrical,m,1.65,0.1,3.59,EUR,1313,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KALI-RIPU_KAKARIKA,"Two-component fixer for processing radiographic film, solution temperature for manual/automated processing 22/28 °C, fixing time 5-10 min, consumption KA.VO l/m2",material,General,l,264.87,16.82,622.85,EUR,1312,"ENG_TORONTO,RU_STPETERSBURG"
KAME-TO-KAPU-KARI_KAKAKAPU,M-10DM diesel engine oil,material,Chemicals & Gases,kg,67.08,3.94,145.82,EUR,1310,"ENG_TORONTO,RU_STPETERSBURG"
RIME-RI-KATO-KADX_KAKAKAPU,"PRN wire, cross-section RI.SA mm2",material,Electrical,1000 m,732.0,732.0,732.0,EUR,1284,ENG_TORONTO
KAME-LI-KARI-KADX_KAKAKARI,"Paper twine, diameter RI.SA mm",material,General,kg,82.06,4.96,183.63,EUR,1263,"ENG_TORONTO,RU_STPETERSBURG"
KAME-TO-KAME-KALI_KAKAKADX,"Rectified technical ethyl alcohol, grade I",material,Chemicals & Gases,kg,307.31,23.69,877.31,EUR,1240,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KANE-KASA_KAKAPUME,"Rubberized cotton insulating tape for electrical installation and repair work, black, width 20 mm, thickness KA.TOSA mm",material,Electrical,m,2.39,0.16,5.75,EUR,1228,"ENG_TORONTO,RU_STPETERSBURG"
KAME-TO-KATO-KALI_KAKAKAME,Acetic acid,material,Chemicals & Gases,kg,71.65,4.02,148.97,EUR,1151,"ENG_TORONTO,RU_STPETERSBURG"
MEPU-PU-KARI-KADX_KAPUKARI,Marking paint for electrical products,material,Paint & Coatings,kg,4516.8,274.36,10161.48,EUR,1107,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-MEME-KALI_KAKASAPU,"Welding electrodes for welding low-alloy and carbon steels ANO-6, E42, diameter 6 mm",material,Steel & Metal,t,28820.08,3721.25,137824.16,EUR,1106,"ENG_TORONTO,RU_STPETERSBURG"
MEPU-RI-KANE-KATO_KASARIME,Indicator liquid,material,General,l,1588.9,84.27,3121.13,EUR,1100,"ENG_TORONTO,RU_STPETERSBURG"
MEME-ME-KARI-KADX_KAKAKATO,"Mine props made of coniferous wood (pine, fir), length KA.DX-PU m, diameter 7-24 cm",material,Wood & Timber,m3,93.47,93.47,93.47,EUR,1063,ENG_TORONTO
KAME-TO-KAPU-KATO_KAKAKATO,Industrial oil I-20A,material,Chemicals & Gases,l,44.21,2.68,99.19,EUR,1062,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KALI-RIPU_KAKAMEME,Developer for color flaw detection,material,General,l,486.36,25.57,947.14,EUR,1046,"ENG_TORONTO,RU_STPETERSBURG"
MEPU-SA-KASA-KAME_KAKAMERI,Combined drying oil for diluting thick oil paints and for exterior work on wooden surfaces,material,Wood & Timber,t,21152.23,1999.37,74050.6,EUR,1027,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-MEME-KALI_KAMEVOTO,"Welding electrodes for welding low-alloy and carbon steels UONI 13/55, E50A, diameter 3 mm",material,Steel & Metal,t,17976.5,3486.0,129111.25,EUR,1023,"ENG_TORONTO,RU_STPETERSBURG"
KAME-TO-KAME-KARI_KAKAKARI,Technical petroleum jelly,material,General,kg,146.33,7.94,294.08,EUR,1009,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KANE-KATO_KAKARITO,"Polyethylene tapes with adhesive layer, transparent, width 20 mm, thickness KA.KAVO mm",material,General,kg,244.86,28.8,1066.52,EUR,975,"ENG_TORONTO,RU_STPETERSBURG"
ME_MEKAKA_TOVO,"Средний разряд работы 3,8",material,General,ч,619.76,619.76,619.76,EUR,964,RU_STPETERSBURG
KAME-ME-KARI-KAPU_KAKAMERI,"General-purpose asbestos cardboard, grade KAON-1, thickness 4 and 6 mm",material,Wood & Timber,t,21068.94,1562.13,57856.56,EUR,961,"ENG_TORONTO,RU_STPETERSBURG"
KAME-TO-KAME-KAME_KAKAKAME,B-70 aviation gasoline,material,General,t,62994.6,3741.5,138573.98,EUR,958,"ENG_TORONTO,RU_STPETERSBURG"
MEME-ME-KATO-KANE_KAKALIDX,"Edged softwood boards, natural moisture content, length RI-NE.SA m, width 100-250 mm, thickness 44-50 mm, grade III",material,Wood & Timber,m3,631.43,371.98,13776.96,EUR,930,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KALI-MEDX_KAKARIME,Washing powder,material,General,kg,35.69,1.58,58.52,EUR,923,"ENG_TORONTO,RU_STPETERSBURG"
MEPU-SA-KADX-MEME_KAMEKARI,White spirit,material,General,kg,30.89,2.41,89.08,EUR,922,"ENG_TORONTO,RU_STPETERSBURG"
MEPU-PU-KARI-KAPU_KAMENERI,"Oil paint MA-011-0, MA-011-1, MA-011-1N, MA-011-2, MA-011-2N",material,Paint & Coatings,t,51572.26,3168.5,117351.72,EUR,920,"ENG_TORONTO,RU_STPETERSBURG"
KAVO-TO-KASA-KARI_KAKARIME,"Hot-rolled sheet metal, steel grades St3sp, St3ps, width 1200-3000 mm, thickness 1-8 mm",material,Steel & Metal,t,14522.13,1380.04,51112.75,EUR,912,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-MEME-KALI_KAMENESA,"Welding electrodes for welding low-alloy and carbon steels MP-3, diameter 3 mm",material,Steel & Metal,kg,75.96,3.7,137.06,EUR,897,"ENG_TORONTO,RU_STPETERSBURG"
KAME-PU-KAME-KANE_KAKASADX,"Drill bit for perforators and rotary percussion drilling machines, KDP 40-25",material,General,pcs,37.74,37.74,37.74,EUR,870,ENG_TORONTO
KAME-LI-KALI-RIDX_KAMEKAME,Linen thread,material,General,kg,49.07,4.92,182.33,EUR,856,"ENG_TORONTO,RU_STPETERSBURG"
KAVO-TO-KATO-KAPU_KAKAMERI,"Light wire, diameter ME.ME mm",material,Electrical,t,25714.38,2397.16,88783.86,EUR,841,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KARI-KANE_KAKAMELI,"Construction cardboard spacer, grade B",material,Wood & Timber,t,82645.25,5250.49,194462.67,EUR,841,"ENG_TORONTO,RU_STPETERSBURG"
KAME-LI-KADX-KATO_KAKAKAME,"APRN wire for blasting operations, VP brand",material,Electrical,1000 m,91.27,91.27,91.27,EUR,828,ENG_TORONTO
KAME-LI-RIKA-KAVO_KAKARIME,Fireproof impregnated canvas,material,General,m2,52.88,4.64,171.71,EUR,807,"ENG_TORONTO,RU_STPETERSBURG"
