code,name,type,category,unit,base_price,min_price,max_price,currency,usage_count,regions
PU_MEKAKA_KAPUKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,9.09,9.08,45.42,EUR,30414,ENG_TORONTO
PU_MEKAKA_KANEKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,15.83,1.71,561.3,EUR,29417,ENG_TORONTO
DXME-KASA-KASA_KAMESA,"Mobile cranes, lifting capacity 16 t",equipment,Cranes,Machine hours,504.25,42.15,1561.06,EUR,24807,"ENG_TORONTO,RU_STPETERSBURG"
PU_MEKAKA_KASAKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,11.76,10.44,135.71,EUR,24718,ENG_TORONTO
KAME-LI-KATO-KAPU_KAKAKAME,Electricity,material,Electrical,kWh,2.64,0.19,7.16,EUR,23819,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEPU-KARI_KAKAME,"Flatbed trucks, load capacity up to 5 tons",equipment,Trucks & Vehicles,Machine hours,142.31,16.37,606.12,EUR,22323,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KAPU_RITOTO,"Welding machines for manual arc welding, welding current up to 350 A",equipment,Welding Equipment,Machine hours,12.38,0.91,33.57,EUR,16733,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KAPU_RITOTO,Electricity: consumption TO.LI kWh/machine-hour,electricity,Electricity,Machine hours,0.49,0.49,0.49,EUR,9038,ENG_TORONTO
KAME-TO-KARI-KAVO_KAKAKAME,Technical gaseous oxygen,material,Chemicals & Gases,m3,46.4,4.22,156.14,EUR,9025,"ENG_TORONTO,RU_STPETERSBURG"
PU_MEKAKA_KANEKA,Персонал: 1 чел.-ч/маш.-ч,equipment,General,маш.-ч,464.35,451.93,1807.72,EUR,8912,RU_STPETERSBURG
PU_MEKAKA_KAPUKA,Персонал: 1 чел.-ч/маш.-ч,equipment,General,маш.-ч,336.43,336.43,336.43,EUR,8203,RU_STPETERSBURG
KAME-LI-KATO-KAME_KAKAKAME,Water,material,Water,m3,3.19,1.16,42.85,EUR,7841,"ENG_TORONTO,RU_STPETERSBURG"
ME_MEKAKA_PUKA,Worker Category 1,labor,Labor,hrs,17.12,17.12,17.12,EUR,7620,ENG_TORONTO
KAME-TO-KARI-KADX_KAKARIRI,Propane-butane technical mixture,material,Chemicals & Gases,kg,22.83,1.85,68.69,EUR,6856,"ENG_TORONTO,RU_STPETERSBURG"
PU_MEKAKA_KASAKA,Персонал: 2 чел.-ч/маш.-ч,equipment,General,маш.-ч,388.63,386.65,773.3,EUR,6829,RU_STPETERSBURG
