resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
PU_MEKAKA_KAPUKA,الموظفون: 1 شخص-ساعة/آلة-ساعة,Operator,Operators,ساعات تشغيل الآلة,22.66,22.62,113.1,22.62,4,AED,224.99,9.918,30422,24734,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب
PU_MEKAKA_KANEKA,الموظفون: 1 شخص-ساعة/آلة-ساعة,Operator,Operators,ساعات تشغيل الآلة,39.43,4.25,1397.8,30.39,13,AED,515.2,15.8152,29418,24257,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب
PU_MEKAKA_KASAKA,الموظفون: 1 شخص-ساعة/آلة-ساعة,Operator,Operators,ساعات تشغيل الآلة,29.28,26.0,337.97,26.0,9,AED,705.39,25.4946,24718,17482,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب
DXME-MEPU-KARI_KAKAME,شاحنات ذات جوانب، حمولة تصل إلى 5 طن,Equipment,General,ساعات تشغيل الآلة,40.75,40.75,40.75,40.75,1,AED,89.18,2.1882,17559,17559,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات مع التحميل على شاحنات قلابة
DXME-KASA-KASA_KAMESA,رافعات على عجلات، حمولة 16 طن,Equipment,General,ساعات تشغيل الآلة,104.96,104.96,104.96,104.96,1,AED,1130.93,10.7746,17260,17260,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات مع التحميل على شاحنات قلابة
KAME-LI-KATO-KAPU_KAKAKAME,الطاقة الكهربائية,Material,General,كيلوواط-ساعة,0.48,0.48,0.48,0.48,1,AED,1428.99,2968.2559,15624,15624,أعمال البناء,أعمال الأساسات، الآبار الغاطسة، تثبيت التربة,أعمال الأساسات,أعمال الأساسات المنفذة من الأرض
DXME-MELI-KAPU_RITOTO,أجهزة لحام يدوية بالقوس الكهربائي، تيار لحام حتى 350 أمبير,Equipment,General,ساعات تشغيل الآلة,2.26,2.26,2.26,2.26,1,AED,120.08,53.1988,9059,9059,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة بطريقة الهيدروميكانيكية
DXME-MELI-KAPU_RITOTO,الكهرباء: استهلاك 3.7 كيلوواط/ساعة/آلة,Electricity,Electricity,ساعات تشغيل الآلة,1.23,1.23,1.23,1.23,1,AED,65.32,53.1988,9059,9059,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة بطريقة الهيدروميكانيكية
KAME-LI-KATO-KAME_KAKAKAME,ماء,Material,General,م3,2.88,2.88,2.88,2.88,1,AED,297.65,103.2782,7937,7937,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير الحفر والتعبئة بالردم للطرق الحديدية والسيارات
ME_MEKAKA_PUKA,"متوسط تصنيف العمل 4,0",Labor,Labor,ساعات,42.63,42.63,42.63,42.63,1,AED,11256.93,264.0885,7620,7620,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة بطريقة الهيدروميكانيكية
KAME-TO-KARI-KAVO_KAKAKAME,أكسجين غازي تقني,Material,General,م3,10.5,10.5,10.5,10.5,1,AED,273.91,26.0864,6539,6539,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تجفيف المياه
KAME-LI-MEME-KALI_KARIRILI,أقطاب لحام الفولاذ منخفض السبائك والكربوني UONI 13/45، E42A، قطر 4-5 مم,Material,General,كغ,9.73,9.73,9.73,9.73,1,AED,641.82,65.9506,5578,5578,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة بطريقة الهيدروميكانيكية
KAME-TO-KARI-KADX_KAKARIRI,خليط البروبان والبيوتان التقني,Material,General,كغ,4.62,4.62,4.62,4.62,1,AED,44.42,9.6035,4774,4774,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تقوية منحدرات المنشآت الترابية
PU_MEKAKA_KALIKA,الموظفون: 1 شخص-ساعة/آلة-ساعة,Operator,Operators,ساعات تشغيل الآلة,34.85,32.41,194.47,32.41,5,AED,1290.3,39.065,4659,4214,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب
PU_MEKAKA_KATOKA,الموظفون: 1 شخص-ساعة/آلة-ساعة,Operator,Operators,ساعات تشغيل الآلة,20.32,20.09,40.18,20.09,2,AED,288.37,14.2676,4041,3793,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تطوير التربة يدويًا
DXME-MELI-KAPU_KAPURI,أجهزة اللحام والقطع بالغاز,Equipment,General,ساعات تشغيل الآلة,0.36,0.36,0.36,0.36,1,AED,6.65,18.4801,3819,3819,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تجفيف المياه
KAME-LI-MESA-KATO_KAKAPURI,براغي مع صواميل ورقائق بناء,Material,General,كغ,13.64,13.64,13.64,13.64,1,AED,449.71,32.9608,3400,3400,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات مع التحميل على شاحنات قلابة
KAME-LI-KATO-KAME_KAKAKARI,مياه الصنبور,Material,General,م3,2.93,2.93,2.93,2.93,1,AED,5145.42,1732.5504,3328,3328,أعمال البناء,الهياكل الخرسانية والخرسانية المسلحة المتجانسة,إنشاءات مباني محطات الطاقة النووية,حقن مكونات القنوات لنظام الشد المسبق للغلاف الواقي لمبنى المفاعل
KAME-LI-MESA-KANE_KAMEMEME,مسامير بناء,Material,General,طن,5860.96,5860.96,5860.96,5860.96,1,AED,87.72,0.0132,3190,3190,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات مع التحميل على شاحنات قلابة
DXME-KANE-KASA_KAMEME,لوادر أحادية الجرافة متعددة الأغراض أمامية تعمل بالهواء المضغوط، السعة الاسمية للجرافة الرئيسية 2.6 م3، الحمولة 5 طن,Equipment,General,ساعات تشغيل الآلة,108.92,108.92,108.92,108.92,1,AED,213.59,1.9609,2921,2921,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة وتركيب مصارف في بناء مشاريع المياه
RI_MEKAKA_KAPU,عامل من الدرجة الرابعة,Labor,Labor,ساعات,42.63,42.63,42.63,42.63,1,AED,3056.28,71.7006,2918,2914,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة وتركيب مصارف في بناء مشاريع المياه
DXME-KADX-KARI_KAKAVO,عربات غير قابلة للانقلاب، سعة 2.5 م3,Equipment,General,ساعات تشغيل الآلة,0.76,0.76,0.76,0.76,1,AED,64.11,84.2565,2892,2892,أعمال البناء,أعمال حفر الأنفاق,أعمال حفر الأنفاق التي يتم تنفيذها بالطريقة العادية,مرور وصلات الأعمدة الرأسية مع الساحات المحيطة، غرف أجهزة التحميل في الأعمدة الرأ
KAME-LI-MEME-KALI_KARITOKA,أقطاب لحام للصلب منخفض السبائك والكربوني UONI 13/55، E50A، قطر 4-5 مم,Material,General,كغ,9.31,9.31,9.31,9.31,1,AED,552.59,59.364,2861,2861,أعمال البناء,الآبار,حفر الآبار,أنواع أخرى من الحفر
ME_MEKAKA_TOKA,"متوسط تصنيف العمل 3,0",Labor,Labor,ساعات,37.85,37.85,37.85,37.85,1,AED,3976.27,105.0412,2694,2694,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب
PU_MEKAKA_KASASA,الموظفون: 2 ساعة عمل/ساعة عمل الآلة,Operator,Operators,ساعات تشغيل الآلة,59.86,56.38,112.77,56.38,2,AED,511.81,8.9018,2611,2509,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير الحفر والتعبئة بالردم للطرق الحديدية والسيارات
