resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
PU_MEKAKA_KAPUKA,Personal: 1 Person-Stunde/Maschinen-Stunde,Operator,Operators,Masch.-Std.,10.11,10.09,50.46,10.09,4,EUR,100.38,9.918,30422,24734,BAUARBEITEN,Erdarbeiten,"MECHANISIERTE BODENBEARBEITUNG (MIT BAGGER, SCHUBRAUPEN, BULLDOZERN, GRADERN, HY",BODENBEARBEITUNG MIT BAGGERN IN DEPONIE
PU_MEKAKA_KANEKA,Personal: 1 Person-Stunde/Maschinen-Stunde,Operator,Operators,Masch.-Std.,17.59,1.9,623.66,13.56,13,EUR,229.87,15.8152,29418,24257,BAUARBEITEN,Erdarbeiten,"MECHANISIERTE BODENBEARBEITUNG (MIT BAGGER, SCHUBRAUPEN, BULLDOZERN, GRADERN, HY",BODENBEARBEITUNG MIT BAGGERN IN DEPONIE
PU_MEKAKA_KASAKA,Personal: 1 Person-Stunde/Maschinen-Stunde,Operator,Operators,Masch.-Std.,13.06,11.6,150.79,11.6,9,EUR,314.73,25.4946,24718,17482,BAUARBEITEN,Erdarbeiten,"MECHANISIERTE BODENBEARBEITUNG (MIT BAGGER, SCHUBRAUPEN, BULLDOZERN, GRADERN, HY",BODENBEARBEITUNG MIT BAGGERN IN DEPONIE
DXME-MEPU-KARI_KAKAME,"Pritschenwagen, Tragfähigkeit bis zu 5 t",Equipment,General,Masch.-Std.,18.18,18.18,18.18,18.18,1,EUR,39.79,2.1882,17559,17559,BAUARBEITEN,Erdarbeiten,"MECHANISIERTE BODENBEARBEITUNG (MIT BAGGER, SCHUBRAUPEN, BULLDOZERN, GRADERN, HY",ERDBEWIRTSCHAFTUNG MIT BAGGERN UND VERLADUNG AUF KIPPER
DXME-KASA-KASA_KAMESA,"Autokrane, Tragkraft 16 t",Equipment,General,Masch.-Std.,46.83,46.83,46.83,46.83,1,EUR,504.59,10.7746,17260,17260,BAUARBEITEN,Erdarbeiten,"MECHANISIERTE BODENBEARBEITUNG (MIT BAGGER, SCHUBRAUPEN, BULLDOZERN, GRADERN, HY",ERDBEWIRTSCHAFTUNG MIT BAGGERN UND VERLADUNG AUF KIPPER
KAME-LI-KATO-KAPU_KAKAKAME,Elektroenergie,Material,General,kWh,0.21,0.21,0.21,0.21,1,EUR,637.58,2968.2559,15624,15624,BAUARBEITEN,"Pfahlbauarbeiten, Senkgruben, Bodenverfestigung",PFAHLARBEITEN,"Pfählearbeiten, die vom Boden aus durchgeführt werden"
DXME-MELI-KAPU_RITOTO,"Schweißgeräte für das Handlichtbogenschweißen, Schweißstrom bis 350 A",Equipment,General,Masch.-Std.,1.01,1.01,1.01,1.01,1,EUR,53.58,53.1988,9059,9059,BAUARBEITEN,Erdarbeiten,"MECHANISIERTE BODENBEARBEITUNG (MIT BAGGER, SCHUBRAUPEN, BULLDOZERN, GRADERN, HY",BODENBEARBEITUNG MITTELS HYDRO-MECHANISIERUNG
DXME-MELI-KAPU_RITOTO,"Strom: Verbrauch 3,7 kWh/Maschinenstunde",Electricity,Electricity,Masch.-Std.,0.55,0.55,0.55,0.55,1,EUR,29.14,53.1988,9059,9059,BAUARBEITEN,Erdarbeiten,"MECHANISIERTE BODENBEARBEITUNG (MIT BAGGER, SCHUBRAUPEN, BULLDOZERN, GRADERN, HY",BODENBEARBEITUNG MITTELS HYDRO-MECHANISIERUNG
KAME-LI-KATO-KAME_KAKAKAME,Wasser,Material,General,m3,1.29,1.29,1.29,1.29,1,EUR,132.81,103.2782,7937,7937,BAUARBEITEN,Erdarbeiten,"MECHANISIERTE BODENBEARBEITUNG (MIT BAGGER, SCHUBRAUPEN, BULLDOZERN, GRADERN, HY",AUSHEBEN VON GRABUNGEN UND AUFschütten VON BÜHNEN FÜR EISEN- UND AUTOBAHNEN
ME_MEKAKA_PUKA,"Mittlere Arbeitsentladung 4,0",Labor,Labor,Std.,19.02,19.02,19.02,19.02,1,EUR,5022.57,264.0885,7620,7620,BAUARBEITEN,Erdarbeiten,"MECHANISIERTE BODENBEARBEITUNG (MIT BAGGER, SCHUBRAUPEN, BULLDOZERN, GRADERN, HY",BODENBEARBEITUNG MITTELS HYDRO-MECHANISIERUNG
