resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
PU_MEKAKA_KAPUKA,Personnel: 1 person-hour/machine-hour,Operator,Operators,Machine hours,9.09,9.08,45.42,9.08,4,CAD,90.37,9.9441,30422,24734,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
PU_MEKAKA_KANEKA,Personnel: 1 person-hour/machine-hour,Operator,Operators,Machine hours,15.83,1.71,561.3,12.2,13,CAD,206.89,15.8395,29418,24257,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
PU_MEKAKA_KASAKA,Personnel: 1 person-hour/machine-hour,Operator,Operators,Machine hours,11.76,10.44,135.71,10.44,9,CAD,283.26,25.5235,24718,17482,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
DXME-MEPU-KARI_KAKAME,"Flatbed trucks, load capacity up to 5 tons",Equipment,Trucks,Machine hours,16.37,16.37,16.37,16.37,1,CAD,35.82,2.1959,17559,17559,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS
DXME-KASA-KASA_KAMESA,"Mobile cranes, lifting capacity 16 t",Equipment,Cranes,Machine hours,42.15,42.15,42.15,42.15,1,CAD,454.13,10.7846,17260,17260,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS
KAME-LI-KATO-KAPU_KAKAKAME,Electricity,Material,General,kWh,0.19,0.19,0.19,0.19,1,CAD,580.14,2970.7277,15624,15624,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization",PILE DRIVING,PILE DRIVING WORK PERFORMED FROM THE GROUND
DXME-MELI-KAPU_RITOTO,"Welding machines for manual arc welding, welding current up to 350 A",Equipment,Welding Equip.,Machine hours,0.91,0.91,0.91,0.91,1,CAD,48.22,53.1988,9059,9059,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
DXME-MELI-KAPU_RITOTO,Electricity: consumption TO.LI kWh/machine-hour,Electricity,Electricity,Machine hours,0.49,0.49,0.49,0.49,1,CAD,26.29,53.1988,9059,9059,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
KAME-LI-KATO-KAME_KAKAKAME,Water,Material,Water,m3,1.16,1.16,1.16,1.16,1,CAD,122.42,106.0106,7937,7937,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",EXCAVATION AND FILLING OF EMBANKMENTS FOR RAILWAYS AND ROADS
ME_MEKAKA_PUKA,Worker Category 1,Labor,Labor,hrs,17.12,17.12,17.12,17.12,1,CAD,4520.31,264.0885,7620,7620,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
KAME-TO-KARI-KAVO_KAKAKAME,Technical gaseous oxygen,Material,Chemicals,m3,4.22,4.22,4.22,4.22,1,CAD,110.31,26.3442,6539,6539,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",WATER DRAINAGE
KAME-LI-MEME-KALI_KARIRILI,"Welding electrodes for welding low-alloy and carbon steels UONI 13/45, E42A, diameter 4-5 mm",Material,Steel & Metal,kg,3.91,3.91,3.91,3.91,1,CAD,258.19,66.1641,5578,5578,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
