resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
PU_MEKAKA_KAPUKA,Personnel : 1 personne-heure/machine-heure,Operator,Operators,Heures machine,8.76,8.75,43.74,8.75,4,EUR,87.02,9.9441,30422,24734,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXCAVATION DU SOL À L'AIDE D'EXCAVATRICES DANS LA DÉCHARGE
PU_MEKAKA_KANEKA,Personnel : 1 personne-heure/machine-heure,Operator,Operators,Heures machine,15.25,1.65,540.51,11.75,13,EUR,199.23,15.8395,29418,24257,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXCAVATION DU SOL À L'AIDE D'EXCAVATRICES DANS LA DÉCHARGE
PU_MEKAKA_KASAKA,Personnel : 1 personne-heure/machine-heure,Operator,Operators,Heures machine,11.32,10.05,130.69,10.05,9,EUR,272.77,25.5235,24718,17482,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXCAVATION DU SOL À L'AIDE D'EXCAVATRICES DANS LA DÉCHARGE
DXME-MEPU-KARI_KAKAME,"Camions à plateau, capacité de charge jusqu'à 5 tonnes",Equipment,General,Heures machine,15.76,15.76,15.76,15.76,1,EUR,34.49,2.1959,17559,17559,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL À L'AIDE D'EXCAVATRICES AVEC CHARGEMENT SUR DES CAMIONS À BE
DXME-KASA-KASA_KAMESA,"Grues sur châssis automobile, capacité de charge 16 t",Equipment,General,Heures machine,40.59,40.59,40.59,40.59,1,EUR,437.31,10.7846,17260,17260,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL À L'AIDE D'EXCAVATRICES AVEC CHARGEMENT SUR DES CAMIONS À BE
KAME-LI-KATO-KAPU_KAKAKAME,Électricité,Material,General,kWh,0.19,0.19,0.19,0.19,1,EUR,559.45,2970.7277,15624,15624,TRAVAUX DE CONSTRUCTION,"Travaux de battage, puits de forage, consolidation des sols",TRAVAUX DE PILOTAGE,TRAVAUX DE FORAGE RÉALISÉS À PARTIR DU SOL
DXME-MELI-KAPU_RITOTO,"Appareils de soudage pour le soudage à l'arc manuel, courant de soudage jusqu'à 350 A",Equipment,General,Heures machine,0.87,0.87,0.87,0.87,1,EUR,46.43,53.1988,9059,9059,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL PAR HYDRO-MÉCANISATION
DXME-MELI-KAPU_RITOTO,"Électricité : consommation 3,7 kW·h/machine-heure",Electricity,Electricity,Heures machine,0.47,0.47,0.47,0.47,1,EUR,25.32,53.1988,9059,9059,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL PAR HYDRO-MÉCANISATION
KAME-LI-KATO-KAME_KAKAKAME,Eau,Material,General,m3,1.11,1.11,1.11,1.11,1,EUR,117.91,106.0106,7937,7937,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXCAVATION ET REMBLAIEMENT POUR VOIES FERRÉES ET ROUTES
ME_MEKAKA_PUKA,Charge de travail moyenne 4,Labor,Labor,heures,16.48,16.48,16.48,16.48,1,EUR,4352.89,264.0885,7620,7620,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL PAR HYDRO-MÉCANISATION
KAME-TO-KARI-KAVO_KAKAKAME,Oxygène gazeux technique,Material,General,m3,4.06,4.06,4.06,4.06,1,EUR,106.23,26.3442,6539,6539,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"AUTRES TYPES DE TRAVAUX DE TERRASSEMENT, TRAVAUX PRÉPARATOIRES, CONNEXES ET DE R",DRAINAGE
KAME-LI-MEME-KALI_KARIRILI,"Électrodes de soudage pour le soudage des aciers faiblement alliés et carbonés UONI 13/45, E42A, diamètre 4-5 mm",Material,General,kg,3.76,3.76,3.76,3.76,1,EUR,248.63,66.1641,5578,5578,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL PAR HYDRO-MÉCANISATION
KAME-TO-KARI-KADX_KAKARIRI,Mélange propane-butane technique,Material,Chemicals,kg,1.79,1.79,1.79,1.79,1,EUR,17.41,9.9601,4774,4774,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"AUTRES TYPES DE TRAVAUX DE TERRASSEMENT, TRAVAUX PRÉPARATOIRES, CONNEXES ET DE R",RENFORCEMENT DES PENTES DES OUVRAGES EN TERRE
PU_MEKAKA_KALIKA,Personnel : 1 personne-heure/machine-heure,Operator,Operators,Heures machine,13.47,12.53,75.2,12.53,5,EUR,498.94,39.065,4659,4214,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXCAVATION DU SOL À L'AIDE D'EXCAVATRICES DANS LA DÉCHARGE
PU_MEKAKA_KATOKA,Personnel : 1 personne-heure/machine-heure,Operator,Operators,Heures machine,7.86,7.77,15.54,7.77,2,EUR,111.65,14.3887,4041,3793,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"AUTRES TYPES DE TRAVAUX DE TERRASSEMENT, TRAVAUX PRÉPARATOIRES, CONNEXES ET DE R",EXCAVATION MANUELLE DU SOL
DXME-MELI-KAPU_KAPURI,Appareils pour le soudage et le découpage au gaz,Equipment,General,Heures machine,0.14,0.14,0.14,0.14,1,EUR,2.63,18.4995,3819,3819,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"AUTRES TYPES DE TRAVAUX DE TERRASSEMENT, TRAVAUX PRÉPARATOIRES, CONNEXES ET DE R",DRAINAGE
KAME-LI-MESA-KATO_KAKAPURI,Boulons avec écrous et rondelles de construction,Material,General,kg,5.28,5.28,5.28,5.28,1,EUR,174.06,33.0324,3400,3400,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL À L'AIDE D'EXCAVATRICES AVEC CHARGEMENT SUR DES CAMIONS À BE
KAME-LI-KATO-KAME_KAKAKARI,Eau du robinet,Material,General,m3,1.13,1.13,1.13,1.13,1,EUR,2447.38,2173.361,3328,3328,TRAVAUX DE CONSTRUCTION,Structures monolithiques en béton et en béton armé,CONSTRUCTIONS DE BÂTIMENTS DE CENTRALES NUCLÉAIRES,Injection de canaux de précontrainte dans l'enveloppe de protection du bâtiment 
KAME-LI-MESA-KANE_KAMEMEME,Clous de construction,Material,General,t,2266.35,2266.35,2266.35,2266.35,1,EUR,33.92,0.0312,3190,3190,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL À L'AIDE D'EXCAVATRICES AVEC CHARGEMENT SUR DES CAMIONS À BE
DXME-KANE-KASA_KAMEME,"Chargeuses frontales universelles à godet unique, pneumatiques, capacité nominale du godet principal 2,6 m3, capacité de charge 5 t",Equipment,General,Heures machine,42.12,42.12,42.12,42.12,1,EUR,82.59,1.9765,2921,2921,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXCAVATION DU SOL ET INSTALLATION DE DRAINAGES DANS LA CONSTRUCTION DE RÉSEAUX D
RI_MEKAKA_KAPU,Ouvrier de 4e catégorie,Labor,Labor,heures,16.48,16.48,16.48,16.48,1,EUR,1181.82,71.7006,2918,2914,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXCAVATION DU SOL ET INSTALLATION DE DRAINAGES DANS LA CONSTRUCTION DE RÉSEAUX D
DXME-KADX-KARI_KAKAVO,"Wagons basculants, capacité 2,5 m3",Equipment,General,Heures machine,0.29,0.29,0.29,0.29,1,EUR,24.84,84.2565,2892,2892,TRAVAUX DE CONSTRUCTION,Travaux de creusement de galeries,TRAVAUX DE PERÇAGE DE TUNNELS RÉALISÉS DE MANIÈRE CONVENTIONNELLE,"PASSAGE DES COUPLAGES DES PUITS VERTICAUX AVEC LES COURES ENTOURANTES, LES CHAMB"
KAME-LI-MEME-KALI_KARITOKA,"Électrodes de soudage pour le soudage des aciers faiblement alliés et carbonés UONI 13/55, E50A, diamètre 4-5 mm",Material,General,kg,3.6,3.6,3.6,3.6,1,EUR,213.9,59.5305,2861,2861,TRAVAUX DE CONSTRUCTION,Forages,FORAGE DE PUITS,AUTRES TYPES DE FORAGE
