resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
PU_MEKAKA_KAPUKA,Pessoal: 1 pessoa-hora/máquina-hora,Operator,Operators,máquina-hora,40.43,40.37,201.86,40.37,4,BRL,401.6,9.9441,30422,24734,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",EXCAVAÇÃO DO SOLO COM EXCAVADORAS EM TERRAPLANAGEM
PU_MEKAKA_KANEKA,Pessoal: 1 pessoa-hora/máquina-hora,Operator,Operators,máquina-hora,70.36,7.59,2494.65,54.23,13,BRL,919.49,15.8395,29418,24257,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",EXCAVAÇÃO DO SOLO COM EXCAVADORAS EM TERRAPLANAGEM
PU_MEKAKA_KASAKA,Pessoal: 1 pessoa-hora/máquina-hora,Operator,Operators,máquina-hora,52.25,46.4,603.17,46.4,9,BRL,1258.92,25.5235,24718,17482,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",EXCAVAÇÃO DO SOLO COM EXCAVADORAS EM TERRAPLANAGEM
DXME-MEPU-KARI_KAKAME,"Caminhões com plataforma, capacidade de carga até 5 t",Equipment,General,máquina-hora,72.73,72.73,72.73,72.73,1,BRL,159.16,2.1959,17559,17559,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",EXPLORAÇÃO DO SOLO COM EXCAVADORAS E CARREGAMENTO EM CAMINHÕES BASCULANTES
DXME-KASA-KASA_KAMESA,"Guindastes sobre rodas, capacidade de carga 16 t",Equipment,General,máquina-hora,187.33,187.33,187.33,187.33,1,BRL,2018.37,10.7846,17260,17260,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",EXPLORAÇÃO DO SOLO COM EXCAVADORAS E CARREGAMENTO EM CAMINHÕES BASCULANTES
KAME-LI-KATO-KAPU_KAKAKAME,Energia elétrica,Material,General,kWh,0.86,0.86,0.86,0.86,1,BRL,2553.1,2970.7277,15624,15624,OBRAS DE CONSTRUÇÃO,"Trabalhos com estacas, poços de mergulho, fixação de solos",TRABALHOS DE ESTACAS,TRABALHOS DE ESTACAS REALIZADOS A PARTIR DO SOLO
DXME-MELI-KAPU_RITOTO,"Aparelhos de soldagem para soldagem manual a arco, corrente de soldagem até 350 A",Equipment,General,máquina-hora,4.03,4.03,4.03,4.03,1,BRL,214.31,53.1988,9059,9059,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",DESENVOLVIMENTO DO SOLO PELO MÉTODO DE HIDROMECANIZAÇÃO
DXME-MELI-KAPU_RITOTO,"Eletricidade: consumo 3,7 kW·h/máquina-hora",Electricity,Electricity,máquina-hora,2.19,2.19,2.19,2.19,1,BRL,116.57,53.1988,9059,9059,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",DESENVOLVIMENTO DO SOLO PELO MÉTODO DE HIDROMECANIZAÇÃO
KAME-LI-KATO-KAME_KAKAKAME,Água,Material,General,m³,5.14,5.14,5.14,5.14,1,BRL,534.37,106.0106,7937,7937,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",EXCAVAÇÃO DE CAVAS E ENCHIMENTO DE TERRAPLENOS PARA VIAS FÉRREAS E RODOVIÁRIAS
ME_MEKAKA_PUKA,Categoria do trabalhador 4,Labor,Labor,hora,76.07,76.07,76.07,76.07,1,BRL,20090.27,264.0885,7620,7620,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",DESENVOLVIMENTO DO SOLO PELO MÉTODO DE HIDROMECANIZAÇÃO
KAME-TO-KARI-KAVO_KAKAKAME,Oxigênio gasoso técnico,Material,General,m³,18.74,18.74,18.74,18.74,1,BRL,489.37,26.3442,6539,6539,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"OUTROS TIPOS DE TRABALHOS DE TERRAPLENAGEM, TRABALHOS PREPARATÓRIOS, ACOMPANHANT",REDUÇÃO DO NÍVEL DA ÁGUA
KAME-LI-MEME-KALI_KARIRILI,"Eletrodos de soldagem para soldagem de aços de baixa liga e carbonosos UONI 13/45, E42A, diâmetro 4-5 mm",Material,General,kg,17.37,17.37,17.37,17.37,1,BRL,1145.86,66.1641,5578,5578,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",DESENVOLVIMENTO DO SOLO PELO MÉTODO DE HIDROMECANIZAÇÃO
KAME-TO-KARI-KADX_KAKARIRI,Mistura técnica de propano-butano,Material,General,kg,8.24,8.24,8.24,8.24,1,BRL,79.73,9.9601,4774,4774,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"OUTROS TIPOS DE TRABALHOS DE TERRAPLENAGEM, TRABALHOS PREPARATÓRIOS, ACOMPANHANT",REFORÇO DE ENCOSTAS DE OBRAS DE TERRA
PU_MEKAKA_KALIKA,Pessoal: 1 pessoa-hora/máquina-hora,Operator,Operators,máquina-hora,62.21,57.85,347.08,57.85,5,BRL,2302.79,39.065,4659,4214,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",EXCAVAÇÃO DO SOLO COM EXCAVADORAS EM TERRAPLANAGEM
PU_MEKAKA_KATOKA,Pessoal: 1 pessoa-hora/máquina-hora,Operator,Operators,máquina-hora,36.27,35.85,71.7,35.85,2,BRL,514.65,14.3887,4041,3793,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"OUTROS TIPOS DE TRABALHOS DE TERRAPLENAGEM, TRABALHOS PREPARATÓRIOS, ACOMPANHANT",EXCAVAÇÃO MANUAL DO SOLO
DXME-MELI-KAPU_KAPURI,Aparelhos para soldagem e corte a gás,Equipment,General,máquina-hora,0.64,0.64,0.64,0.64,1,BRL,11.88,18.4995,3819,3819,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"OUTROS TIPOS DE TRABALHOS DE TERRAPLENAGEM, TRABALHOS PREPARATÓRIOS, ACOMPANHANT",REDUÇÃO DO NÍVEL DA ÁGUA
KAME-LI-MESA-KATO_KAKAPURI,Parafusos com porcas e arruelas para construção civil,Material,General,kg,24.35,24.35,24.35,24.35,1,BRL,803.35,33.0324,3400,3400,OBRAS DE CONSTRUÇÃO,Trabalhos de terraplenagem,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVE",EXPLORAÇÃO DO SOLO COM EXCAVADORAS E CARREGAMENTO EM CAMINHÕES BASCULANTES
