resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
PU_MEKAKA_KAPUKA,Персонал: 1 чел.-ч/маш.-ч,Equipment,General,маш.-ч,336.96,336.43,1682.15,336.43,4,RUB,3346.1,9.918,30422,24734,СТРОИТЕЛЬНЫЕ РАБОТЫ,Земляные работы,"МЕХАНИЗИРОВАННАЯ РАЗРАБОТКА ГРУНТОВ (ЭКСКАВАТОРАМИ, СКРЕПЕРАМИ, БУЛЬДОЗЕРАМИ, ГР",РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ
PU_MEKAKA_KANEKA,Персонал: 1 чел.-ч/маш.-ч,Equipment,General,маш.-ч,586.39,63.27,20788.78,451.93,13,RUB,7662.39,15.8152,29418,24257,СТРОИТЕЛЬНЫЕ РАБОТЫ,Земляные работы,"МЕХАНИЗИРОВАННАЯ РАЗРАБОТКА ГРУНТОВ (ЭКСКАВАТОРАМИ, СКРЕПЕРАМИ, БУЛЬДОЗЕРАМИ, ГР",РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ
PU_MEKAKA_KASAKA,Персонал: 1 чел.-ч/маш.-ч,Equipment,General,маш.-ч,435.44,386.65,5026.45,386.65,9,RUB,10490.99,25.4946,24718,17482,СТРОИТЕЛЬНЫЕ РАБОТЫ,Земляные работы,"МЕХАНИЗИРОВАННАЯ РАЗРАБОТКА ГРУНТОВ (ЭКСКАВАТОРАМИ, СКРЕПЕРАМИ, БУЛЬДОЗЕРАМИ, ГР",РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ
DXME-MELI-KAPU_RITOTO,"Аппараты сварочные для ручной дуговой сварки, сварочный ток до 350 А",Equipment,General,маш.-ч,25.92,18.26,33.57,25.91,2,RUB,1378.65,53.1988,18118,9059,СТРОИТЕЛЬНЫЕ РАБОТЫ,Земляные работы,"МЕХАНИЗИРОВАННАЯ РАЗРАБОТКА ГРУНТОВ (ЭКСКАВАТОРАМИ, СКРЕПЕРАМИ, БУЛЬДОЗЕРАМИ, ГР",РАЗРАБОТКА ГРУНТА МЕТОДОМ ГИДРОМЕХАНИЗАЦИИ
DXME-MEPU-KARI_KAKAME,"Автомобили бортовые, грузоподъемность до 5 т",Equipment,General,маш.-ч,606.12,606.12,606.12,606.12,1,RUB,1326.32,2.1882,17559,17559,СТРОИТЕЛЬНЫЕ РАБОТЫ,Земляные работы,"МЕХАНИЗИРОВАННАЯ РАЗРАБОТКА ГРУНТОВ (ЭКСКАВАТОРАМИ, СКРЕПЕРАМИ, БУЛЬДОЗЕРАМИ, ГР",РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ С ПОГРУЗКОЙ НА АВТОМОБИЛИ-САМОСВАЛЫ
DXME-KASA-KASA_KAMESA,"Краны на автомобильном ходу, грузоподъемность 16 т",Equipment,General,маш.-ч,1561.06,1561.06,1561.06,1561.06,1,RUB,16819.78,10.7746,17260,17260,СТРОИТЕЛЬНЫЕ РАБОТЫ,Земляные работы,"МЕХАНИЗИРОВАННАЯ РАЗРАБОТКА ГРУНТОВ (ЭКСКАВАТОРАМИ, СКРЕПЕРАМИ, БУЛЬДОЗЕРАМИ, ГР",РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ С ПОГРУЗКОЙ НА АВТОМОБИЛИ-САМОСВАЛЫ
KAME-LI-KATO-KAPU_KAKAKAME,Электроэнергия,Material,General,кВт-ч,7.16,7.16,7.16,7.16,1,RUB,21252.71,2968.2559,15624,15624,СТРОИТЕЛЬНЫЕ РАБОТЫ,"Свайные работы, опускные колодцы, закрепление грунтов",СВАЙНЫЕ РАБОТЫ,"СВАЙНЫЕ РАБОТЫ, ВЫПОЛНЯЕМЫЕ С ЗЕМЛИ"
KAME-LI-KATO-KAME_KAKAKAME,Вода,Material,General,м3,42.85,42.85,42.85,42.85,1,RUB,4426.84,103.2782,7937,7937,СТРОИТЕЛЬНЫЕ РАБОТЫ,Земляные работы,"МЕХАНИЗИРОВАННАЯ РАЗРАБОТКА ГРУНТОВ (ЭКСКАВАТОРАМИ, СКРЕПЕРАМИ, БУЛЬДОЗЕРАМИ, ГР",РАЗРАБОТКА ВЫЕМОК И ОТСЫПКА НАСЫПЕЙ ДЛЯ ЖЕЛЕЗНЫХ И АВТОМОБИЛЬНЫХ ДОРОГ
ME_MEKAKA_PUKA,"Средний разряд работы 4,0",Labor,Labor,ч,633.95,633.95,633.95,633.95,1,RUB,167418.93,264.0885,7620,7620,СТРОИТЕЛЬНЫЕ РАБОТЫ,Земляные работы,"МЕХАНИЗИРОВАННАЯ РАЗРАБОТКА ГРУНТОВ (ЭКСКАВАТОРАМИ, СКРЕПЕРАМИ, БУЛЬДОЗЕРАМИ, ГР",РАЗРАБОТКА ГРУНТА МЕТОДОМ ГИДРОМЕХАНИЗАЦИИ
KAME-TO-KARI-KAVO_KAKAKAME,Кислород газообразный технический,Material,General,м3,156.14,156.14,156.14,156.14,1,RUB,4073.75,26.0864,6539,6539,СТРОИТЕЛЬНЫЕ РАБОТЫ,Земляные работы,"ДРУГИЕ ВИДЫ ЗЕМЛЯНЫХ РАБОТ, ПОДГОТОВИТЕЛЬНЫЕ, СОПУТСТВУЮЩИЕ И УКРЕПИТЕЛЬНЫЕ РАБО",ВОДОПОНИЖЕНИЕ
