resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
PU_MEKAKA_KAPUKA,Personal: 1 persona-hora/máquina-hora,Operator,Operators,máquina-hora,8.66,8.65,43.23,8.65,4,EUR,85.99,9.918,30422,24734,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"EXPLOTACIÓN MECANIZADA DEL SUELO (CON EXCAVADORAS, RASCADORAS, TOPADORAS, NIVELA",EXCAVACIÓN DEL SUELO CON EXCAVADORAS EN EL TERRENO
PU_MEKAKA_KANEKA,Personal: 1 persona-hora/máquina-hora,Operator,Operators,máquina-hora,15.07,1.63,534.27,11.61,13,EUR,196.92,15.8152,29418,24257,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"EXPLOTACIÓN MECANIZADA DEL SUELO (CON EXCAVADORAS, RASCADORAS, TOPADORAS, NIVELA",EXCAVACIÓN DEL SUELO CON EXCAVADORAS EN EL TERRENO
PU_MEKAKA_KASAKA,Personal: 1 persona-hora/máquina-hora,Operator,Operators,máquina-hora,11.19,9.94,129.18,9.94,9,EUR,269.62,25.4946,24718,17482,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"EXPLOTACIÓN MECANIZADA DEL SUELO (CON EXCAVADORAS, RASCADORAS, TOPADORAS, NIVELA",EXCAVACIÓN DEL SUELO CON EXCAVADORAS EN EL TERRENO
DXME-MEPU-KARI_KAKAME,"Vehículos con plataforma, capacidad de carga hasta 5 t",Equipment,General,máquina-hora,15.58,15.58,15.58,15.58,1,EUR,34.09,2.1882,17559,17559,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"EXPLOTACIÓN MECANIZADA DEL SUELO (CON EXCAVADORAS, RASCADORAS, TOPADORAS, NIVELA",EXCAVACIÓN DEL SUELO CON EXCAVADORAS Y CARGA EN CAMIONES VOLQUETES
DXME-KASA-KASA_KAMESA,"Grúas sobre camión, capacidad de carga 16 t",Equipment,General,máquina-hora,40.12,40.12,40.12,40.12,1,EUR,432.27,10.7746,17260,17260,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"EXPLOTACIÓN MECANIZADA DEL SUELO (CON EXCAVADORAS, RASCADORAS, TOPADORAS, NIVELA",EXCAVACIÓN DEL SUELO CON EXCAVADORAS Y CARGA EN CAMIONES VOLQUETES
KAME-LI-KATO-KAPU_KAKAKAME,Electricidad,Material,General,kWh,0.18,0.18,0.18,0.18,1,EUR,546.19,2968.2559,15624,15624,OBRAS DE CONSTRUCCIÓN,"Trabajos de pilotaje, pozos de hundimiento, consolidación de suelos",TRABAJOS DE PILOTEO,TRABAJOS DE PILOTEO REALIZADOS DESDE EL SUELO
DXME-MELI-KAPU_RITOTO,"Aparatos de soldadura para soldadura manual por arco, corriente de soldadura hasta 350 A",Equipment,General,máquina-hora,0.86,0.86,0.86,0.86,1,EUR,45.9,53.1988,9059,9059,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"EXPLOTACIÓN MECANIZADA DEL SUELO (CON EXCAVADORAS, RASCADORAS, TOPADORAS, NIVELA",EXPLOTACIÓN DEL SUELO MEDIANTE HIDROMECANIZACIÓN
DXME-MELI-KAPU_RITOTO,"Electricidad: consumo 3,7 kW·h/máquina-hora",Electricity,Electricity,máquina-hora,0.47,0.47,0.47,0.47,1,EUR,24.97,53.1988,9059,9059,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"EXPLOTACIÓN MECANIZADA DEL SUELO (CON EXCAVADORAS, RASCADORAS, TOPADORAS, NIVELA",EXPLOTACIÓN DEL SUELO MEDIANTE HIDROMECANIZACIÓN
KAME-LI-KATO-KAME_KAKAKAME,Agua,Material,General,m3,1.1,1.1,1.1,1.1,1,EUR,113.77,103.2782,7937,7937,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"EXPLOTACIÓN MECANIZADA DEL SUELO (CON EXCAVADORAS, RASCADORAS, TOPADORAS, NIVELA",EXCAVACIÓN DE VACÍOS Y RELLENO DE TERRENOS PARA VÍAS FÉRREAS Y CARRETERAS
ME_MEKAKA_PUKA,"Carga media de trabajo 4,0",Labor,Labor,hora,16.29,16.29,16.29,16.29,1,EUR,4302.67,264.0885,7620,7620,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"EXPLOTACIÓN MECANIZADA DEL SUELO (CON EXCAVADORAS, RASCADORAS, TOPADORAS, NIVELA",EXPLOTACIÓN DEL SUELO MEDIANTE HIDROMECANIZACIÓN
KAME-TO-KARI-KAVO_KAKAKAME,Oxígeno gaseoso técnico,Material,General,m3,4.01,4.01,4.01,4.01,1,EUR,104.7,26.0864,6539,6539,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"OTROS TIPOS DE TRABAJOS DE EXCAVACIÓN, PREPARATORIOS, ACOMPAÑANTES Y DE REFUERZO",BAJADA DEL NIVEL DEL AGUA
KAME-LI-MEME-KALI_KARIRILI,"Electrodos de soldadura para soldar aceros de baja aleación y aceros al carbono UONI 13/45, E42A, diámetro 4-5 mm",Material,General,kg,3.72,3.72,3.72,3.72,1,EUR,245.32,65.9506,5578,5578,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"EXPLOTACIÓN MECANIZADA DEL SUELO (CON EXCAVADORAS, RASCADORAS, TOPADORAS, NIVELA",EXPLOTACIÓN DEL SUELO MEDIANTE HIDROMECANIZACIÓN
KAME-TO-KARI-KADX_KAKARIRI,Mezcla técnica de propano-butano,Material,General,kg,1.77,1.77,1.77,1.77,1,EUR,16.98,9.6035,4774,4774,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"OTROS TIPOS DE TRABAJOS DE EXCAVACIÓN, PREPARATORIOS, ACOMPAÑANTES Y DE REFUERZO",REFUERZO DE LOS TALUDES DE LAS OBRAS DE TIERRA
PU_MEKAKA_KALIKA,Personal: 1 persona-hora/máquina-hora,Operator,Operators,máquina-hora,13.32,12.39,74.33,12.39,5,EUR,493.18,39.065,4659,4214,OBRAS DE CONSTRUCCIÓN,Trabajos de excavación,"EXPLOTACIÓN MECANIZADA DEL SUELO (CON EXCAVADORAS, RASCADORAS, TOPADORAS, NIVELA",EXCAVACIÓN DEL SUELO CON EXCAVADORAS EN EL TERRENO
