resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
PU_MEKAKA_KAPUKA,Personnel: 1 person-hour/machine-hour,Equipment,General,Machine hours,5.7,5.69,28.48,5.69,4,GBP,56.74,9.9441,30422,24734,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
PU_MEKAKA_KANEKA,Personnel: 1 person-hour/machine-hour,Equipment,General,Machine hours,9.93,1.07,351.94,7.65,13,GBP,129.9,15.8395,29418,24257,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
PU_MEKAKA_KASAKA,Personnel: 1 person-hour/machine-hour,Equipment,General,Machine hours,7.38,6.55,85.09,6.55,9,GBP,177.91,25.5235,24718,17482,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
DXME-MEPU-KARI_KAKAME,"Flatbed trucks, load capacity up to 5 tons",Equipment,Trucks,Machine hours,10.26,10.26,10.26,10.26,1,GBP,22.53,2.1959,17559,17559,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS
DXME-KASA-KASA_KAMESA,"Mobile cranes, lifting capacity 16 t",Equipment,Cranes,Machine hours,26.43,26.43,26.43,26.43,1,GBP,285.04,10.7846,17260,17260,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS
KAME-LI-KATO-KAPU_KAKAKAME,Electricity,Material,General,kWh,0.0,0.0,0.0,0.0,0,GBP,580.14,2970.7277,15624,15624,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization",PILE DRIVING,PILE DRIVING WORK PERFORMED FROM THE GROUND
DXME-MELI-KAPU_RITOTO,"Welding machines for manual arc welding, welding current up to 350 A",Equipment,Welding Equip.,Machine hours,0.57,0.57,0.57,0.57,1,GBP,30.32,53.1988,9059,9059,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
DXME-MELI-KAPU_RITOTO,Electricity: consumption 3.7 kWh/machine-hour,Electricity,Electricity,Machine hours,0.96,0.96,0.96,0.96,1,GBP,51.07,53.1988,9059,9059,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
KAME-LI-KATO-KAME_KAKAKAME,Water,Material,Water,m3,0.69,0.69,0.69,0.69,1,GBP,73.15,106.0106,7937,7937,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",EXCAVATION AND FILLING OF EMBANKMENTS FOR RAILWAYS AND ROADS
ME_MEKAKA_PUKA,Worker Category 1,Labor,Labor,hrs,13.17,13.17,13.17,13.17,1,GBP,3478.05,264.0885,7620,7620,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
