resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
PU_MEKAKA_KAPUKA,Personnel: 1 person-hour/machine-hour,Equipment,General,Machine hours,6.86,6.85,34.28,6.85,4,USD,58.81,8.5667,30422,24734,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
PU_MEKAKA_KANEKA,Personnel: 1 person-hour/machine-hour,Equipment,General,Machine hours,11.95,1.29,423.67,9.21,13,USD,145.99,14.8902,29418,24257,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
PU_MEKAKA_KASAKA,Personnel: 1 person-hour/machine-hour,Equipment,General,Machine hours,8.87,7.88,102.43,7.88,9,USD,237.55,28.3622,24718,17482,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
DXME-MEPU-KARI_KAKAME,"Flatbed trucks, load capacity up to 5 tons",Equipment,Trucks,Machine hours,12.36,12.36,12.36,12.36,1,USD,25.23,2.0409,17559,17559,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS
DXME-KASA-KASA_KAMESA,"Mobile cranes, lifting capacity 17.64 ton",Equipment,Cranes,Machine hours,31.81,31.81,31.81,31.81,1,USD,313.52,9.856,17260,17260,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS
KAME-LI-KATO-KAPU_KAKAKAME,Electricity,Material,General,kWh,0.0,0.0,0.0,0.0,0,USD,580.14,2976.3294,15624,15624,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization",PILE DRIVING,PILE DRIVING WORK PERFORMED FROM THE GROUND
DXME-MELI-KAPU_RITOTO,"Welding machines for manual arc welding, welding current up to 350 A",Equipment,Welding Equip.,Machine hours,0.69,0.69,0.69,0.69,1,USD,37.12,53.7991,9059,9059,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
DXME-MELI-KAPU_RITOTO,Electricity: consumption 3.7 kWh/machine-hour,Electricity,Electricity,Machine hours,0.37,0.37,0.37,0.37,1,USD,19.97,53.7991,9059,9059,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
KAME-LI-KATO-KAME_KAKAKAME,Water,Material,Water,CY,0.62,0.62,0.62,0.62,1,USD,112.08,180.779,7937,7937,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",EXCAVATION AND FILLING OF EMBANKMENTS FOR RAILWAYS AND ROADS
ME_MEKAKA_PUKA,Worker Category 1,Labor,Labor,hrs,21.79,21.79,21.79,21.79,1,USD,4772.52,219.0235,7620,7620,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
